code,entity,continent,year,gdp_per_cap,plastic_waste_per_cap,mismanaged_plastic_waste_per_cap,mismanaged_plastic_waste,coastal_pop,total_pop
AFG,Afghanistan,Asia,2010,1614.25500126115,NA,NA,NA,NA,31411743
ALB,Albania,Europe,2010,9927.18184117512,0.069,0.032,29705,2530533,3204284
DZA,Algeria,Africa,2010,12870.6026985154,0.144,0.086,520555,16556580,35468208
ASM,American Samoa,Oceania,2010,NA,NA,NA,NA,NA,68420
AND,Andorra,Europe,2010,NA,NA,NA,NA,NA,84864
AGO,Angola,Africa,2010,5897.68284059848,0.062,0.045,62528,3790041,19081912
AIA,Anguilla,North America,2010,NA,0.252,0.01,52,14561,15358
ATG,Antigua and Barbuda,North America,2010,19212.7201307541,0.66,0.051,1253,66843,88710
ARG,Argentina,South America,2010,18712.0630773436,0.183,0.026,157777,16449245,40412376
ARM,Armenia,Europe,2010,6702.84800627941,NA,NA,NA,NA,3092072
ARM,Armenia,Asia,2010,6702.84800627941,NA,NA,NA,NA,3092072
ABW,Aruba,North America,2010,NA,0.252,0.007,372,137910,107488
AUS,Australia,Oceania,2010,41464.0400696359,0.112,0.002,13889,17235954,22268384
AUT,Austria,Europe,2010,43336.1978527647,NA,NA,NA,NA,8393644
AZE,Azerbaijan,Europe,2010,15950.2574578783,NA,NA,NA,NA,9187783
AZE,Azerbaijan,Asia,2010,15950.2574578783,NA,NA,NA,NA,9187783
BHS,Bahamas,North America,2010,29221.9911816149,0.39,0.011,1333,341145,342877
BHR,Bahrain,Asia,2010,40570.5356928307,0.132,0.016,4376,743574,1261835
BGD,Bangladesh,Asia,2010,2442.72888765696,0.034,0.03,787327,70874124,148692131
BRB,Barbados,North America,2010,16417.9624523108,0.57,0.034,3483,276784,273331
BLR,Belarus,Europe,2010,16235.1714534334,NA,NA,NA,NA,9595421
BEL,Belgium,Europe,2010,41085.9189401366,0.08,0.002,2743,4747957,10712066
BLZ,Belize,North America,2010,7876.80958597644,0.172,0.053,3892,202429,311627
BEN,Benin,Africa,2010,1818.77846075906,0.043,0.036,43015,3235418,8849892
BMU,Bermuda,North America,2010,56395.0078003539,0.252,0.005,123,66966,64941
BTN,Bhutan,Asia,2010,6419.67559908811,NA,NA,NA,NA,725940
BOL,Bolivia,South America,2010,5407.47022023569,NA,NA,NA,NA,9929849
BIH,Bosnia and Herzegovina,Europe,2010,9720.34217718095,0.144,0.061,12955,585582,3760149
BWA,Botswana,Africa,2010,13334.1987970857,NA,NA,NA,NA,2006945
BRA,Brazil,South America,2010,14537.5671930903,0.165,0.017,471404,74696771,194946470
VGB,British Virgin Islands,North America,2010,NA,0.252,0.005,55,29674,23245
BRN,Brunei,Asia,2010,80552.8644713138,0.026,0.001,93,359871,398920
BGR,Bulgaria,Europe,2010,15283.2914751664,0.154,0.051,18739,1002695,7494332
BFA,Burkina Faso,Africa,2010,1423.37770598198,NA,NA,NA,NA,16468714
BDI,Burundi,Africa,2010,763.831930213843,NA,NA,NA,NA,8382849
KHM,Cambodia,Asia,2010,2522.92682475402,0.066,0.058,29686,1391254,14138255
CMR,Cameroon,Africa,2010,2929.82911281962,0.046,0.038,27713,1986723,19598889
CAN,Canada,North America,2010,40699.3551293841,0.093,0.002,7959,11846863,34016593
CPV,Cape Verde,Africa,2010,5828.24158804338,0.065,0.049,9347,522245,495999
CYM,Cayman Islands,North America,2010,NA,0.252,0.005,95,51864,56230
CAF,Central African Republic,Africa,2010,881.144550791663,NA,NA,NA,NA,4401051
TCD,Chad,Africa,2010,1925.19511802507,NA,NA,NA,NA,11227208
CHL,Chile,South America,2010,19442.0503154635,0.119,0.011,21754,5621550,17113688
CHN,China,Asia,2010,9525.81848339164,0.121,0.092,8819717,262892387,1341335152
CXR,Christmas Island,Asia,2010,NA,0.252,0.005,3,1402,1400
CCK,Cocos Islands,Asia,2010,NA,0.252,0.005,1,596,596
COL,Colombia,South America,2010,10900.5052821616,0.144,0.034,92173,7498563,46294841
COM,Comoros,Africa,2010,1412.50268663997,0.201,0.169,58032,938595,734750
COG,Congo,Africa,2010,5186.34478845194,0.069,0.054,16766,847807,4042899
COK,Cook Islands,Oceania,2010,NA,0.144,0.054,416,20934,20288
CRI,Costa Rica,North America,2010,12999.9921931442,0.258,0.047,42090,2479298,4658887
CIV,Cote d'Ivoire,Africa,2010,2690.25800198952,0.103,0.086,194558,6230583,19737800
HRV,Croatia,Europe,2010,20171.9575294867,0.252,0.028,16461,1602782,4403330
CUB,Cuba,North America,2010,NA,0.089,0.022,90630,11333471,11257979
CUW,Curacao,North America,2010,NA,0.252,0.005,268,143784,NA
CYP,Cyprus,Europe,2010,33941.1380158355,0.248,0.006,1821,840556,1103647
CYP,Cyprus,Asia,2010,33941.1380158355,0.248,0.006,1821,840556,1103647
CZE,Czech Republic,Europe,2010,28352.9493964403,NA,NA,NA,NA,10492960
COD,Democratic Republic of Congo,Africa,2010,660.210955818272,0.045,0.039,15208,1076056,65965795
DNK,Denmark,Europe,2010,43998.4366716285,0.047,0.001,1791,5376386,5550142
DJI,Djibouti,Africa,2010,NA,0.103,0.076,17324,621744,888716
DMA,Dominica,North America,2010,10198.2733729326,0.149,0.031,783,70138,67757
DOM,Dominican Republic,North America,2010,11132.5526905467,0.144,0.039,118226,8232586,9927320
ECU,Ecuador,South America,2010,9352.34423681593,0.147,0.047,109383,6400048,14464739
EGY,Egypt,Africa,2010,9857.46828190066,0.178,0.122,967012,21750943,81121077
SLV,El Salvador,North America,2010,6300.77538777337,0.147,0.051,118732,6410726,6192993
GNQ,Equatorial Guinea,Africa,2010,33723.3658030152,0.144,0.047,5977,351600,700401
ERI,Eritrea,Africa,2010,1416.36580154238,0.045,0.035,16259,1266222,5253676
EST,Estonia,Europe,2010,22740.9720038708,0.176,0.019,5979,878021,1341140
ETH,Ethiopia,Africa,2010,1073.82629506883,NA,NA,NA,NA,82949541
FRO,Faeroe Islands,Europe,2010,NA,0.252,0.005,93,50554,48708
FLK,Falkland Islands,South America,2010,NA,0.252,0.005,5,2602,NA
FJI,Fiji,Oceania,2010,7352.08836002372,0.189,0.151,49257,896145,860623
FIN,Finland,Europe,2010,39848.1344978775,0.234,0.005,4985,2927674,5364546
FRA,France,Europe,2010,36855.8446824064,0.192,0.004,24109,17287280,62787427
GUF,French Guiana,South America,2010,NA,0.144,0.039,2360,167631,231151
PYF,French Polynesia,Oceania,2010,NA,0.252,0.013,1286,270618,270764
GAB,Gabon,Africa,2010,15355.7846497731,0.054,0.019,6087,862328,1505463
GMB,Gambia,Africa,2010,1644.24236613493,0.048,0.041,19616,1324214,1728394
GEO,Georgia,Europe,2010,6733.78376130988,0.068,0.035,14472,1124249,4352244
GEO,Georgia,Asia,2010,6733.78376130988,0.068,0.035,14472,1124249,4352244
DEU,Germany,Europe,2010,40428.7210307617,0.485,0.01,31239,8837035,82302465
GHA,Ghana,Africa,2010,3059.38362640541,0.04,0.032,91571,7727702,24391823
GIB,Gibraltar,Europe,2010,NA,0.252,0.005,65,33483,29244
GRC,Greece,Europe,2010,28726.0792836873,0.2,0.004,14229,9794702,11359346
GRL,Greenland,North America,2010,NA,0.252,0.005,105,57068,57296
GRD,Grenada,North America,2010,11177.9997155594,0.325,0.064,2248,96121,104487
GLP,Guadeloupe,North America,2010,NA,0.144,0.039,6564,466166,460666
GUM,Guam,Oceania,2010,NA,0.252,0.006,393,190809,179896
GTM,Guatemala,North America,2010,6714.0635955465,0.28,0.105,91563,2392442,14388929
GGY,Guernsey,Europe,2010,NA,0.252,0.005,103,56289,NA
GIN,Guinea,Africa,2010,1573.54495756823,0.03,0.025,18514,1996496,9981590
GNB,Guinea-Bissau,Africa,2010,1400.36329312665,0.054,0.046,20240,1208106,1515224
GUY,Guyana,South America,2010,5847.85725499679,0.586,0.224,42002,513235,754493
HTI,Haiti,North America,2010,1502.03271141224,0.09,0.044,147389,9155693,9993247
HND,Honduras,North America,2010,3971.18299352727,0.189,0.079,95638,3324144,7600524
HKG,Hong Kong,Asia,2010,48107.7086333279,0.398,0.01,28512,7573074,7053189
HUN,Hungary,Europe,2010,22404.2391969471,NA,NA,NA,NA,9983645
ISL,Iceland,Europe,2010,38978.0055953415,0.281,0.006,598,292708,320136
IND,India,Asia,2010,4404.69700530387,0.01,0.009,599819,187493433,1224614327
IDN,Indonesia,Asia,2010,8433.49735678452,0.057,0.047,3216856,187223476,239870937
IRN,Iran,Asia,2010,17942.8328426143,0.144,0.074,247403,9099695,73973630
IRQ,Iraq,Asia,2010,12717.5975271684,0.103,0.067,15563,639228,31671591
IRL,Ireland,Europe,2010,44030.4141487055,0.43,0.009,11710,3749576,4469900
IMN,Isle of Man,Europe,2010,NA,NA,NA,NA,NA,82869
ISR,Israel,Asia,2010,29743.0058727916,0.297,0.008,19007,6677810,7418400
ITA,Italy,Europe,2010,36201.1615672134,0.134,0.003,32761,33822532,60550848
JAM,Jamaica,North America,2010,7996.01948795873,0.034,0.01,10019,2820558,2741052
JPN,Japan,Asia,2010,35749.7566788784,0.171,0.003,143121,115228891,126535920
JOR,Jordan,Asia,2010,9472.76832624669,0.144,0.086,1737,55392,6187227
KAZ,Kazakhstan,Europe,2010,20096.5597617591,NA,NA,NA,NA,16026367
KAZ,Kazakhstan,Asia,2010,20096.5597617591,NA,NA,NA,NA,16026367
KEN,Kenya,Africa,2010,2476.01074216401,0.027,0.023,22658,2729945,40512682
KIR,Kiribati,Oceania,2010,1731.53862650466,0.103,0.088,3045,94487,99546
KWT,Kuwait,Asia,2010,75204.145116617,0.686,0.014,11489,2293604,2736732
KGZ,Kyrgyzstan,Asia,2010,2790.17066394311,NA,NA,NA,NA,5334223
LAO,Laos,Asia,2010,4218.78204415944,NA,NA,NA,NA,6200894
LVA,Latvia,Europe,2010,18251.9532813473,0.124,0.02,10284,1432078,2252060
LBN,Lebanon,Asia,2010,16451.7598336606,0.094,0.034,47815,3890871,4227597
LSO,Lesotho,Africa,2010,2365.68346109084,NA,NA,NA,NA,2171318
LBR,Liberia,Africa,2010,699.653721510599,0.084,0.072,56728,2148271,3994122
LBY,Libya,Africa,2010,29630.2221484622,0.144,0.036,52779,4050128,6355112
LIE,Liechtenstein,Europe,2010,NA,NA,NA,NA,NA,36032
LTU,Lithuania,Europe,2010,21070.6343301646,0.132,0.021,3479,443894,3323611
LUX,Luxembourg,Europe,2010,91743.2938905974,NA,NA,NA,NA,507448
MAC,Macao,Asia,2010,98184.3365009534,0.368,0.007,698,257911,543656
MKD,Macedonia,Europe,2010,11355.3674926425,NA,NA,NA,NA,2060563
MDG,Madagascar,Africa,2010,1385.68507168039,0.016,0.013,34522,7062413,20713819
MWI,Malawi,Africa,2010,1032.9628806199,NA,NA,NA,NA,14900841
MYS,Malaysia,Asia,2010,21107.2679372523,0.198,0.112,936818,22890252,28401017
MDV,Maldives,Asia,2010,12005.5046183167,0.322,0.22,31469,392567,315885
MLI,Mali,Africa,2010,1871.98474385098,NA,NA,NA,NA,15369809
MLT,Malta,Europe,2010,28364.7993209208,0.214,0.018,2620,404707,416515
MHL,Marshall Islands,Oceania,2010,3479.15530340683,0.192,0.15,3187,58086,54038
MTQ,Martinique,North America,2010,NA,0.252,0.005,749,402257,405814
MRT,Mauritania,Africa,2010,3316.97478042489,0.045,0.038,13854,1005481,3459773
MUS,Mauritius,Africa,2010,15938.4192089782,0.23,0.122,56051,1255952,1299172
MYT,Mayotte,Africa,2010,NA,NA,NA,NA,NA,204114
MEX,Mexico,North America,2010,15715.9721449501,0.087,0.012,101343,22647771,113423047
FSM,Micronesia (country),Oceania,2010,3297.65693360804,0.103,0.085,4794,154895,NA
MDA,Moldova,Europe,2010,3910.86053324527,NA,NA,NA,NA,3572885
MCO,Monaco,Europe,2010,NA,0.252,0.005,62,34050,35407
MNG,Mongolia,Asia,2010,7708.59999413593,NA,NA,NA,NA,2756001
MNE,Montenegro,Europe,2010,14034.584564008701,0.144,0.046,4416,260336,631490
MSR,Montserrat,North America,2010,NA,0.144,0.02,38,5173,5934
MAR,Morocco,Africa,2010,6443.25361319481,0.073,0.049,310126,17303431,31951412
MOZ,Mozambique,Africa,2010,917.763832040531,0.015,0.013,45995,9566559,23390765
MMR,Myanmar,Asia,2010,3721.21144009279,0.075,0.066,458269,18988522,47963012
NAM,Namibia,Africa,2010,8460.84736812378,0.144,0.097,5480,155084,2283289
NRU,Nauru,Oceania,2010,6592.43683574598,0.144,0.099,554,15289,10255
NPL,Nepal,Asia,2010,1985.98034060169,NA,NA,NA,NA,29959364
NLD,Netherlands,Europe,2010,45524.6621425733,0.424,0.008,27700,8971770,16612988
ANT,Netherlands Antilles,North America,2010,NA,0.252,0.005,416,227165,NA
NCL,New Caledonia,Oceania,2010,NA,0.252,0.005,472,257904,250870
NZL,New Zealand,Oceania,2010,32119.2155430773,0.331,0.007,9286,3862054,4368136
NIC,Nicaragua,North America,2010,4028.71208738128,0.143,0.066,84415,3482653,5788163
NER,Niger,Africa,2010,814.240936151832,NA,NA,NA,NA,15511953
NGA,Nigeria,Africa,2010,5150.15881822763,0.103,0.085,851493,27477112,158423182
NIU,Niue,Oceania,2010,NA,0.252,0.006,4,1799,1468
NFK,Norfolk Island,Oceania,2010,NA,0.103,0.086,68,2156,NA
PRK,North Korea,Asia,2010,NA,0.054,0.048,304328,17327483,24346229
MNP,Northern Mariana Islands,Oceania,2010,NA,0.252,0.006,219,106256,60917
NOR,Norway,Europe,2010,62350.410706875096,0.28,0.006,8403,4131679,4883111
OMN,Oman,Asia,2010,45335.8525168436,0.084,0.005,4658,2597556,2782435
PAK,Pakistan,Asia,2010,4283.60731163635,0.103,0.09,480493,14581952,173593383
PLW,Palau,Oceania,2010,11846.5739334318,0.144,0.084,716,23446,20472
PSE,Palestine,Asia,2010,4172.74568921544,0.063,0.005,5599,3045258,NA
PAN,Panama,North America,2010,15628.5922438738,0.145,0.029,34388,3249531,3516820
PNG,Papua New Guinea,Oceania,2010,3191.58041028301,0.103,0.09,89835,2747514,6858266
PRY,Paraguay,South America,2010,7289.51391005233,NA,NA,NA,NA,6454548
PER,Peru,South America,2010,9956.55663668307,0.144,0.039,194453,13765608,29076512
PHL,Philippines,Asia,2010,5596.83728794962,0.075,0.062,1883659,83446862,93260798
PCN,Pitcairn,Oceania,2010,NA,NA,NA,NA,NA,50
POL,Poland,Europe,2010,21770.6444359772,0.097,0.013,15703,3272933,38276660
PRT,Portugal,Europe,2010,27238.4606724422,0.265,0.005,16402,8507951,10675572
PRI,Puerto Rico,North America,2010,33924.0540101397,0.252,0.011,16517,4249848,3749009
QAT,Qatar,Asia,2010,125140.838348001,0.16,0.003,758,653007,1758793
REU,Reunion,Africa,2010,NA,0.144,0.003,847,809426,846068
ROU,Romania,Europe,2010,17553.2832966444,0.042,0.011,3610,875170,21486371
RUS,Russia,Europe,2010,23107.7852212759,0.112,0.02,80759,10812537,142958164
RUS,Russia,Asia,2010,23107.7852212759,0.112,0.02,80759,10812537,142958164
RWA,Rwanda,Africa,2010,1365.17423994085,NA,NA,NA,NA,10624005
SHN,Saint Helena,Africa,2010,NA,0.144,0.039,96,6839,4118
KNA,Saint Kitts and Nevis,North America,2010,21412.201453108,0.654,0.054,715,36102,52402
LCA,Saint Lucia,North America,2010,12123.8351390475,0.522,0.113,6709,163227,174267
SPM,Saint Pierre and Miquelon,North America,2010,NA,0.252,0.005,11,5888,NA
VCT,Saint Vincent and the Grenadines,North America,2010,9915.57761891195,0.221,0.051,2245,120149,109333
WSM,Samoa,Oceania,2010,5399.89309631838,0.103,0.084,5122,168025,183081
SMR,San Marino,Europe,2010,73862.3374374501,NA,NA,NA,NA,31534
STP,Sao Tome and Principe,Africa,2010,2641.51394847294,0.103,0.085,5081,163740,165397
SAU,Saudi Arabia,Asia,2010,45421.2284797446,0.156,0.016,20552,3593471,27448086
SEN,Senegal,Africa,2010,2183.99505141766,0.103,0.086,254770,8125063,12433728
SRB,Serbia,Europe,2010,12688.1242898741,NA,NA,NA,NA,9856222
SYC,Seychelles,Africa,2010,20365.1189331513,0.358,0.139,4619,91361,86518
SLE,Sierra Leone,Africa,2010,1199.98985027502,0.041,0.035,36408,2887017,5867536
SGP,Singapore,Asia,2010,72115.8395014504,0.194,0.004,6472,4492494,5086418
SXM,Sint Maarten (Dutch part),North America,2010,NA,0.252,0.005,70,37429,NA
SVK,Slovakia,Europe,2010,25159.0775487579,NA,NA,NA,NA,5462119
SVN,Slovenia,Europe,2010,28678.3726303687,0.145,0.005,556,336594,2029680
SLB,Solomon Islands,Oceania,2010,1871.36935209356,0.103,0.09,20394,618678,538148
SOM,Somalia,Africa,2010,NA,0.054,0.047,101531,5971169,9330872
ZAF,South Africa,Africa,2010,11887.8050343927,0.24,0.134,630005,12899201,50132817
KOR,South Korea,Asia,2010,30352.1048190303,0.112,0.001,33747,41654619,48183584
SSD,South Sudan,Africa,2010,NA,NA,NA,NA,NA,9415421
ESP,Spain,Europe,2010,32507.0939660629,0.277,0.006,45853,22771488,46076989
LKA,Sri Lanka,Asia,2010,8529.57144219453,0.357,0.299,1591179,14568174,20859949
SDN,Sudan,Africa,2010,3366.09626107549,0.103,0.083,22928,752529,34136520
SUR,Suriname,South America,2010,14211.8775163255,0.163,0.027,3942,402263,524636
SWZ,Swaziland,Africa,2010,7296.51111860929,NA,NA,NA,NA,1186056
SWE,Sweden,Europe,2010,42942.5625032962,0.048,0.001,2150,6202234,9379687
CHE,Switzerland,Europe,2010,55866.3050707537,NA,NA,NA,NA,7664318
SYR,Syria,Asia,2010,NA,0.178,0.119,157904,3621997,20410606
TWN,Taiwan,Asia,2010,NA,0.252,0.006,45718,22211567,23025000
TJK,Tajikistan,Asia,2010,2106.33875580206,NA,NA,NA,NA,6878637
TZA,Tanzania,Africa,2010,2090.58322467574,0.023,0.02,48586,6688695,44841226
THA,Thailand,Asia,2010,13486.5624149548,0.144,0.108,1027739,26043442,69122234
TGO,Togo,Africa,2010,1208.2812098328,0.057,0.049,35401,1991642,6027798
TKL,Tokelau,Oceania,2010,NA,0.103,0.086,43,1379,1135
TON,Tonga,Oceania,2010,4984.19362951029,0.223,0.176,6624,102872,104058
TTO,Trinidad and Tobago,North America,2010,31260.9070471763,3.6,0.19,94066,1358433,1341465
TUN,Tunisia,Africa,2010,10436.3655998628,0.144,0.088,234309,7274973,10480934
TUR,Turkey,Europe,2010,17959.2591065745,0.212,0.039,485937,34042862,72752325
TUR,Turkey,Asia,2010,17959.2591065745,0.212,0.039,485937,34042862,72752325
TKM,Turkmenistan,Asia,2010,9942.4269559212,NA,NA,NA,NA,5041995
TCA,Turks and Caicos Islands,North America,2010,NA,0.252,0.006,49,22570,38354
TUV,Tuvalu,Oceania,2010,2986.44985588888,0.144,0.108,457,11563,9827
UGA,Uganda,Africa,2010,1515.86641152128,NA,NA,NA,NA,33424683
UKR,Ukraine,Europe,2010,7824.49845171438,0.103,0.052,128765,6812799,45448329
ARE,United Arab Emirates,Asia,2010,57232.6180757649,0.199,0.004,3016,2018302,7511690
GBR,United Kingdom,Europe,2010,36366.9831782522,0.215,0.004,67549,43258889,62035570
USA,United States,North America,2010,49374.1788851797,0.335,0.007,275424,112925034,310383948
URY,Uruguay,South America,2010,17082.4046586765,0.252,0.024,21562,2433597,3368786
UZB,Uzbekistan,Asia,2010,4239.70220839215,NA,NA,NA,NA,27444702
VUT,Vanuatu,Oceania,2010,2948.03293729183,0.295,0.245,22478,251851,239651
VEN,Venezuela,South America,2010,16544.9720552598,0.252,0.017,102333,16094897,28979857
VNM,Vietnam,Asia,2010,4408.16861192198,0.103,0.09,1833819,55858245,87848445
ESH,Western Sahara,Africa,2010,NA,NA,NA,NA,NA,530500
YEM,Yemen,Asia,2010,4478.7435991429,0.103,0.077,169181,6048920,NA
ZMB,Zambia,Africa,2010,3279.27716144476,NA,NA,NA,NA,13088570
ZWE,Zimbabwe,Africa,2010,1474.87712795527,NA,NA,NA,NA,12571454
