country,capture,aquaculture,total
Afghanistan,1000,1200,2200
Albania,7886,950,8836
Algeria,95000,1361,96361
American Samoa,3047,20,3067
Andorra,0,0,0
Angola,486490,655,487145
Antigua and Barbuda,3000,10,3010
Argentina,755226,3673,758899
Armenia,3758,16381,20139
Aruba,142,0,142
Australia,174629,96847,271476
Austria,350,3483,3833
Azerbaijan,676,640,1316
Bahamas,11625,8,11633
Bahrain,15000,6,15006
Bangladesh,1674770,2203554,3878324
Barbados,1735,26,1761
Belarus,686,11199,11885
Belgium,26970,44,27014
Belize,91432,953,92385
Benin,49806,3080,52886
Bermuda,410,0,410
Bhutan,7,150,157
Bolivia,7000,3000,10000
Bosnia and Herzegovina,305,4564,4869
Botswana,38,15,53
Brazil,705000,581230,1286230
British Virgin Islands,1200,0,1200
Brunei,13292,948,14240
Bulgaria,8614,15762,24376
Burkina Faso,22070,470,22540
Burundi,21805,1330,23135
Cambodia,629950,172500,802450
Cameroon,233190,2315,235505
Canada,874727,200765,1075492
Cape Verde,19900,0,19900
Cayman Islands,125,0,125
Central African Republic,29000,190,29190
Chad,110000,94,110094
Chile,1829238,1050117,2879355
China,17800000,63700000,81500000
Colombia,86344,96970,183314
Comoros,16407,0,16407
Costa Rica,14750,22421,37171
Croatia,72312,15805,88117
Cuba,23574,29185,52759
Curaçao,35534,0,35534
Cyprus,1507,6625,8132
Czech Republic,3507,20952,24459
Democratic Republic of the Congo,237372,3161,240533
Denmark,670344,36337,706681
Djibouti,2220,0,2220
Dominica,770,6,776
Dominican Republic,14640,2285,16925
Ecuador,715495,451090,1166585
Egypt,335614,1370660,1706274
El Salvador,54084,7956,62040
Equatorial Guinea,8000,15,8015
Eritrea,4300,0,4300
Estonia,75931,868,76799
Eswatini,65,100,165
Ethiopia,45500,95,45595
Faroe Islands,568435,83300,651735
Federated States of Micronesia,88397,0,88397
Fiji,44663,754,45417
Finland,192065,14412,206477
France,561173,166640,727813
France,90,0,90
French Polynesia,13754,1343,15097
Gabon,31000,45,31045
Gambia,58261,5,58266
Georgia,30078,670,30748
Germany,271185,41721,312906
Ghana,327457,52480,379937
Gibraltar,1,0,1
Greece,76362,123410,199772
Greenland,273175,0,273175
Grenada,2550,0,2550
Guam,1391,110,1501
Guatemala,19011,26268,45279
Guinea,128000,250,128250
Guinea-Bissau,6700,0,6700
Guyana,42142,337,42479
Haiti,16510,1220,17730
Honduras,10600,53100,63700
Hong Kong,142775,4258,147033
Hungary,5048,16248,21296
Iceland,1085176,15129,1100305
India,5082332,5703002,10785334
Indonesia,6584419,16600000,23184419
Iran,695407,398129,1093536
Iraq,28000,28835,56835
Ireland,259845,40244,300089
Isle of Man,7040,0,7040
Israel,1758,18914,20672
Italy,198130,157109,355239
Ivory Coast,67500,4701,72201
Jamaica,16800,620,17420
Japan,3275263,1067994,4343257
Jersey and Guernsey,2985,1499,4484
Jordan,873,885,1758
Kazakhstan,41335,1878,43213
Kenya,171391,15360,186751
Kiribati,172822,3652,176474
Kuwait,5493,196,5689
Kyrgyzstan,89,1931,2020
Laos,70915,109835,180750
Latvia,114806,788,115594
Lebanon,4291,1015,5306
Lesotho,52,1050,1102
Liberia,14700,40,14740
Libya,30002,10,30012
Liechtenstein,0,0,0
Lithuania,106945,4393,111338
Luxembourg,0,0,0
Macao,1500,0,1500
Madagascar,142333,25998,168331
Malawi,152852,7646,160498
Malaysia,1584371,407887,1992258
Maldives,129191,0,129191
Mali,102486,4194,106680
Malta,2420,6073,8493
Marshall Islands,64795,5,64800
Mauritania,609754,0,609754
Mauritius,18062,1021,19083
Mexico,1524467,221328,1745795
Moldova,50,16011,16061
Monaco,1,0,1
Mongolia,15,0,15
Montenegro,1595,929,2524
Morocco,1454105,1142,1455247
Mozambique,299591,1180,300771
Myanmar,2072390,1017644,3090034
Namibia,503878,591,504469
Nauru,530,0,530
Nepal,21500,49043,70543
Netherlands,370274,62940,433214
New Caledonia,3815,1587,5402
New Zealand,424791,109016,533807
Nicaragua,45500,22530,68030
Niger,34592,300,34892
Nigeria,734731,306727,1041458
North Korea,209000,554100,763100
North Macedonia,306,986,1292
Northern Mariana Islands,950,42,992
Norway,2203360,1326216,3529576
Oman,279606,103,279709
Pakistan,513156,156430,669586
Palau,818,23,841
Palestine,3306,280,3586
Panama,144450,8808,153258
Papua New Guinea,309245,6200,315445
Paraguay,17000,8500,25500
Peru,3811802,100187,3911989
Philippines,2027992,2200914,4228906
Poland,218115,38300,256415
Portugal,186950,9787,196737
Puerto Rico,1901,20,1921
Qatar,14516,10,14526
Republic of the Congo,86748,177,86925
Romania,12728,12574,25302
Russia,4773413,173840,4947253
Rwanda,25013,580,25593
Saint Kitts and Nevis,65734,1,65735
Saint Lucia,2097,32,2129
Saint Vincent and the Grenadines,23077,0,23077
Samoa,8801,10,8811
San Marino,0,0,0
São Tomé and Príncipe,11750,0,11750
Saudi Arabia,68082,39920,108002
Senegal,474162,2079,476241
Serbia,2067,6878,8945
Seychelles,127128,0,127128
Sierra Leone,202100,75,202175
Singapore,1234,6112,7346
Sint Maarten,253,0,253
Slovakia,1866,2169,4035
Slovenia,311,1844,2155
Solomon Islands,66445,10582,77027
Somalia,30000,0,30000
South Africa,622070,7994,630064
South Korea,1395951,1859220,3255171
South Sudan,35000,20,35020
Spain,915137,283831,1198968
Sri Lanka,521637,30974,552611
Sudan,33002,4500,37502
Suriname,47013,102,47115
Sweden,208783,15747,224530
Switzerland,1851,1733,3584
Syria,4500,3500,8000
Tajikistan,1100,450,1550
Tanzania,370966,12547,383513
Thailand,1530583,962571,2493154
Timor-Leste,3200,1560,4760
Togo,31891,98,31989
Tonga,1697,3,1700
Trinidad and Tobago,13027,11,13038
Tunisia,115064,16165,131229
Turkey,335326,250331,585657
Turkmenistan,15000,30,15030
Turks and Caicos Islands,2780,0,2780
Tuvalu,7684,3,7687
Uganda,389244,118051,507295
Ukraine,75743,21425,97168
United Arab Emirates,73000,1241,74241
United Kingdom,702405,194492,896897
United States,4931017,444369,5375386
Uruguay,51500,70,51570
US Virgin Islands,551,8,559
Uzbekistan,27267,38055,65322
Vanuatu,44002,16,44018
Venezuela,284175,25998,310173
Vietnam,2785940,3634531,6420471
Yemen,154450,0,154450
Zambia,83918,30285,114203
Zimbabwe,15711,10085,25796