country,capture,aquaculture
Algeria,126259,368
Angola,240000,
Argentina,931472,2430
Australia,245935,47087
Bangladesh,1333866,882091
Brazil,750283,257783
Cambodia,384000,26000
Canada,1080982,154083
Chile,4330325,698214
Colombia,121000,60072
"Congo, Democratic Republic of the",220000,2965
Denmark,910613,39012
Ecuador,407723,78300
Egypt,349553,539748
France,574358,258435
Germany,285668,44685
Ghana,392274,1154
Greece,92738,106208
Greenland,216302,
Hong Kong,161964,4130
Iceland,1661031,8256
India,3481136,2837751
Indonesia,4381260,1197109
Iran,410558,117354
Ireland,262532,60050
Italy,298373,180943
Japan,4072895,746221
Kenya,148124,1047
Latvia,150618,542
Lithuania,139785,2013
Madagascar,136400,8500
Malaysia,1214183,175834
Mauritania,247577,
Mexico,1304830,117514
Morocco,932704,2257
Myanmar,1742956,474510
Namibia,552695,50
Netherlands,549208,68175
New Zealand,535394,105301
Nigeria,523182,56355
North Korea,205000,63700
Norway,2392934,656636
Oman,150571,173
Other,9685851,786993
Pakistan,434473,80622
Panama,214737,8019
Papua New Guinea,250280,
People's Republic of China,17053191,32414084
Peru,9388662,27468
Philippines,2246352,557251
Poland,156247,36607
Portugal,211757,6485
Russian Federation,3190946,114752
Senegal,405070,193
Seychelles,106555,772
Sierra Leone,145993,
South Africa,817608,3142
South Korea,1639069,436232
Spain,848803,221927
Sri Lanka,161960,1724
Sweden,256359,5880
Taiwan (Republic of China),1017243,304756
Tanzania,347800,11
Thailand,2599387,1144011
Tunisia,109117,2665
Turkey,426496,119177
Uganda,416758,10817
UK,669458,172813
Ukraine,244943,28745
Uruguay,125906,47
USA,4888621,471958
Vanuatu,151079,1
Venezuela,470000,22210
Vietnam,1929900,1437300
Yemen,263000,