Admit,Gender,Dept
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Admitted,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Rejected,Female,A
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
Admitted,Male,B
