title_console,metascore,userscore,rel_date,url,metascore_critic_count,userscore_rating_count,genre,rating
World to the West                                            (Switch),73,7.3,"Jan 18, 2018",http://www.metacritic.com//game/switch/world-to-the-west,14,6,"ActionAdventure, Linear",E10+
Mulaka                                            (Switch),73,7.1,"Mar 1, 2018",http://www.metacritic.com//game/switch/mulaka,20,31,"ActionAdventure, General",T
Fe                                            (PC),73,5.8,"Feb 16, 2018",http://www.metacritic.com//game/pc/fe,11,17,"Action, General",E
The Station                                            (PC),73,6.6,"Feb 20, 2018",http://www.metacritic.com//game/pc/the-station,9,10,"Adventure, 3D, First-Person",NA
A Normal Lost Phone                                            (Switch),73,5.6,"Mar 1, 2018",http://www.metacritic.com//game/switch/a-normal-lost-phone,9,5,"Simulation, General",M
Rad Rodgers                                            (PC),73,6.7,"Feb 21, 2018",http://www.metacritic.com//game/pc/rad-rodgers,14,13,"Action, Platformer, 2D",M
Assassin's Creed Rogue Remastered                                            (XONE),73,5.8,"Mar 20, 2018",http://www.metacritic.com//game/xbox-one/assassins-creed-rogue-remastered,15,9,"ActionAdventure, Open-World",M
Immortal Redneck                                            (PS4),73,NA,"Feb 27, 2018",http://www.metacritic.com//game/playstation-4/immortal-redneck,9,- Awaiting 2 more ratings,"Action, Shooter, First-Person, Arcade",M
Stellaris: Apocalypse                                            (PC),73,6.7,"Feb 22, 2018",http://www.metacritic.com//game/pc/stellaris-apocalypse,9,15,"Strategy, Real-Time, General",NA
Digimon Story Cyber Sleuth: Hacker's Memory                                            (PS4),73,7.4,"Jan 19, 2018",http://www.metacritic.com//game/playstation-4/digimon-story-cyber-sleuth-hackers-memory,39,62,"Role-Playing, Japanese-Style",T
Mulaka                                            (XONE),72,5.8,"Mar 2, 2018",http://www.metacritic.com//game/xbox-one/mulaka,10,4,"ActionAdventure, General",T
The Fall Part 2: Unbound                                            (Switch),72,7.7,"Feb 13, 2018",http://www.metacritic.com//game/switch/the-fall-part-2-unbound,9,7,"ActionAdventure, General",T
All Walls Must Fall                                            (PC),72,NA,"Feb 23, 2018",http://www.metacritic.com//game/pc/all-walls-must-fall,10,- Awaiting 3 more ratings,"Strategy, General",NA
Apex Construct                                            (PS4),72,6.8,"Feb 20, 2018",http://www.metacritic.com//game/playstation-4/apex-construct,19,13,"Action, Shooter, LightGun",E10+
Detective Pikachu                                            (3DS),72,7.8,"Mar 23, 2018",http://www.metacritic.com//game/3ds/detective-pikachu,47,44,"Adventure, 3D, Third-Person",E
Sword Art Online: Fatal Bullet                                            (XONE),72,7.8,"Feb 23, 2018",http://www.metacritic.com//game/xbox-one/sword-art-online-fatal-bullet,8,20,"Action, Shooter, Third-Person, Arcade",T
Old Man's Journey                                            (Switch),72,6.3,"Feb 20, 2018",http://www.metacritic.com//game/switch/old-mans-journey,7,6,"Adventure, General",E
Masters of Anima                                            (PS4),72,NA,"Apr 10, 2018",http://www.metacritic.com//game/playstation-4/masters-of-anima,10,- Awaiting 3 more ratings,"Strategy, Real-Time, MOBA",E10+
RiftStar Raiders                                            (PS4),72,NA,"Feb 27, 2018",http://www.metacritic.com//game/playstation-4/riftstar-raiders,7,- Be the first to review!,"Action, Shooter, Shoot-'Em-Up, Top-Down",E10+
Shu                                            (Switch),72,6.1,"Jan 23, 2018",http://www.metacritic.com//game/switch/shu,24,9,"Action, Platformer, 2D",E
Devil May Cry HD Collection                                            (XONE),72,6.5,"Mar 13, 2018",http://www.metacritic.com//game/xbox-one/devil-may-cry-hd-collection,8,16,"Miscellaneous, Compilation",M
Xeodrifter                                            (Switch),71,6.8,"Feb 15, 2018",http://www.metacritic.com//game/switch/xeodrifter,7,6,"Action, Platformer, 2D",E
Call of Duty: WWII - The Resistance                                            (PS4),71,2.6,"Jan 30, 2018",http://www.metacritic.com//game/playstation-4/call-of-duty-wwii---the-resistance,13,16,"Action, Shooter, First-Person, Arcade",M
Attack on Titan 2                                            (Switch),71,8,"Mar 20, 2018",http://www.metacritic.com//game/switch/attack-on-titan-2,12,18,"Action, General",M
Attack of the Earthlings                                            (PC),71,6.4,"Feb 8, 2018",http://www.metacritic.com//game/pc/attack-of-the-earthlings,10,5,"Strategy, Turn-Based, Tactics",NA
Dandara                                            (Switch),71,7.7,"Feb 6, 2018",http://www.metacritic.com//game/switch/dandara,17,34,"Action, General, Platformer, 2D",E
H1Z1                                            (PC),71,4.2,"Feb 28, 2018",http://www.metacritic.com//game/pc/h1z1,7,31,"Action, Third-Person, Shooter, Arcade, ActionAdventure, Survival",T
The Fall Part 2: Unbound                                            (PS4),71,NA,"Feb 13, 2018",http://www.metacritic.com//game/playstation-4/the-fall-part-2-unbound,11,- Awaiting 2 more ratings,"ActionAdventure, General",T
Crossing Souls                                            (PC),71,6.1,"Feb 13, 2018",http://www.metacritic.com//game/pc/crossing-souls,25,22,"ActionAdventure, General",T
Cold Iron                                            (PS4),71,7.5,"Jan 30, 2018",http://www.metacritic.com//game/playstation-4/cold-iron,8,13,"ActionAdventure, General",T
Pure Farming 2018                                            (PC),71,7.5,"Mar 13, 2018",http://www.metacritic.com//game/pc/pure-farming-2018,9,13,"Simulation, Virtual, Career",E
Assassin's Creed Rogue Remastered                                            (PS4),71,6,"Mar 20, 2018",http://www.metacritic.com//game/playstation-4/assassins-creed-rogue-remastered,28,32,"ActionAdventure, Open-World",M
Mercenaries Saga Chronicles                                            (Switch),70,7.4,"Feb 8, 2018",http://www.metacritic.com//game/switch/mercenaries-saga-chronicles,7,8,"Strategy, Turn-Based, Tactics",NA
Fe                                            (PS4),70,6.9,"Feb 16, 2018",http://www.metacritic.com//game/playstation-4/fe,52,50,"Action, General",E
Stikbold! A Dodgeball Adventure Deluxe                                            (Switch),70,5.8,"Jan 4, 2018",http://www.metacritic.com//game/switch/stikbold!-a-dodgeball-adventure-deluxe,8,4,"Action, Arcade",E
Dandara                                            (PC),70,6.2,"Feb 6, 2018",http://www.metacritic.com//game/pc/dandara,8,5,"Action, General, Platformer, 2D",NA
Rust                                            (PC),70,6,"Feb 8, 2018",http://www.metacritic.com//game/pc/rust,10,278,"Historic, ActionAdventure, Survival",NA
Bridge Constructor Portal                                            (Switch),70,NA,"Feb 28, 2018",http://www.metacritic.com//game/switch/bridge-constructor-portal,9,- Awaiting 2 more ratings,"Simulation, Virtual, Career",E
Fe                                            (XONE),70,7.9,"Feb 16, 2018",http://www.metacritic.com//game/xbox-one/fe,29,22,"Action, General",E
Frantics                                            (PS4),70,7.9,"Mar 6, 2018",http://www.metacritic.com//game/playstation-4/frantics,26,25,"Miscellaneous, Party/Minigame",E
Age of Empires: Definitive Edition                                            (PC),70,4.5,"Feb 20, 2018",http://www.metacritic.com//game/pc/age-of-empires-definitive-edition,48,61,"Strategy, Real-Time, Command",T
Pure Farming 2018                                            (PS4),69,7,"Mar 13, 2018",http://www.metacritic.com//game/playstation-4/pure-farming-2018,7,12,"Simulation, Virtual, Career",E
WARTILE                                            (PC),69,NA,"Feb 8, 2018",http://www.metacritic.com//game/pc/wartile,10,- Awaiting 3 more ratings,"Strategy, Turn-Based, Tactics",NA
We Were Here Too                                            (PC),69,NA,"Feb 2, 2018",http://www.metacritic.com//game/pc/we-were-here-too,7,- Awaiting 3 more ratings,"First-Person, Adventure, 3D",NA
Kingdom Come: Deliverance                                            (PS4),69,6.9,"Feb 13, 2018",http://www.metacritic.com//game/playstation-4/kingdom-come-deliverance,27,417,"Historic, Role-Playing, ActionAdventure, General, ActionRPG",M
Typoman: Revised                                            (Switch),69,6.9,"Feb 22, 2018",http://www.metacritic.com//game/switch/typoman-revised,9,8,"Action, Platformer, 2D",E10+
Lost Sphear                                            (Switch),69,7.9,"Jan 23, 2018",http://www.metacritic.com//game/switch/lost-sphear,17,36,"Role-Playing, Japanese-Style",E10+
Lost Sphear                                            (PC),69,6.8,"Jan 23, 2018",http://www.metacritic.com//game/pc/lost-sphear,9,13,"Role-Playing, Japanese-Style",E10+
ChromaGun                                            (Switch),69,5.9,"Jan 22, 2018",http://www.metacritic.com//game/switch/chromagun,14,8,"Action, Shooter, First-Person, Arcade",E10+
InnerSpace                                            (PS4),69,5.1,"Jan 16, 2018",http://www.metacritic.com//game/playstation-4/innerspace,11,7,"Simulation, Flight, Civilian",E
Urban Trial Playground                                            (Switch),69,5.7,"Apr 5, 2018",http://www.metacritic.com//game/switch/urban-trial-playground,8,7,"Sports, Individual, Biking",E
Lost Sphear                                            (PS4),69,7.2,"Jan 23, 2018",http://www.metacritic.com//game/playstation-4/lost-sphear,52,52,"Role-Playing, Japanese-Style",E10+
Empires Apart                                            (PC),69,NA,"Mar 29, 2018",http://www.metacritic.com//game/pc/empires-apart,11,- Awaiting 2 more ratings,"Strategy, Real-Time, General",NA
Monster Energy Supercross: The Official Videogame                                            (XONE),69,8.1,"Feb 13, 2018",http://www.metacritic.com//game/xbox-one/monster-energy-supercross-the-official-videogame,8,9,"Racing, Arcade, Automobile",E
Sea of Thieves                                            (XONE),68,5.1,"Mar 20, 2018",http://www.metacritic.com//game/xbox-one/sea-of-thieves,66,1371,"Role-Playing, MassivelyMultiplayer",T
de Blob 2                                            (PS4),68,NA,"Feb 27, 2018",http://www.metacritic.com//game/playstation-4/de-blob-2,9,- Awaiting 1 more rating,"Action, Platformer, 3D",E10+
Way of the Passive Fist                                            (XONE),68,7.7,"Mar 7, 2018",http://www.metacritic.com//game/xbox-one/way-of-the-passive-fist,7,6,"Action, Beat-'Em-Up, 2D",T
Kingdom Come: Deliverance                                            (XONE),68,6.8,"Feb 13, 2018",http://www.metacritic.com//game/xbox-one/kingdom-come-deliverance,18,167,"Historic, Role-Playing, ActionAdventure, General, ActionRPG",M
The Longest Five Minutes                                            (Switch),68,4.7,"Feb 13, 2018",http://www.metacritic.com//game/switch/the-longest-five-minutes,25,9,"Role-Playing, General",T
Sea of Thieves                                            (PC),68,4,"Mar 20, 2018",http://www.metacritic.com//game/pc/sea-of-thieves,23,356,"Role-Playing, MassivelyMultiplayer",T
Battlezone: Combat Commander                                            (PC),68,NA,"Mar 1, 2018",http://www.metacritic.com//game/pc/battlezone-combat-commander,8,- Awaiting 3 more ratings,"Strategy, Real-Time, General",NA
Genital Jousting                                            (PC),68,7.7,"Jan 18, 2018",http://www.metacritic.com//game/pc/genital-jousting,15,27,"Miscellaneous, Party/Minigame",NA
Strikers Edge                                            (PS4),68,5.2,"Jan 30, 2018",http://www.metacritic.com//game/playstation-4/strikers-edge,15,5,"Action, Shooter, Shoot-'Em-Up, Top-Down",T
Scribblenauts Showdown                                            (XONE),68,NA,"Mar 6, 2018",http://www.metacritic.com//game/xbox-one/scribblenauts-showdown,8,- Awaiting 3 more ratings,"Puzzle, Action",E10+
LEGRAND LEGACY: Tale of the Fatebounds                                            (PC),67,6.8,"Jan 24, 2018",http://www.metacritic.com//game/pc/legrand-legacy-tale-of-the-fatebounds,10,13,"Role-Playing, Japanese-Style",NA
Azkend 2: The World Beneath                                            (Switch),67,NA,"Jan 12, 2018",http://www.metacritic.com//game/switch/azkend-2-the-world-beneath,8,- Awaiting 3 more ratings,"Puzzle, Matching",E
Regalia: Of Men and Monarchs - Royal Edition                                            (PS4),67,NA,"Apr 10, 2018",http://www.metacritic.com//game/playstation-4/regalia-of-men-and-monarchs---royal-edition,12,- Be the first to review!,"Strategy, Turn-Based, Tactics",T
Gravel                                            (XONE),67,NA,"Feb 27, 2018",http://www.metacritic.com//game/xbox-one/gravel,14,- Awaiting 1 more rating,"Racing, Arcade, Automobile",E
Dissidia: Final Fantasy NT                                            (PS4),67,4.9,"Jan 30, 2018",http://www.metacritic.com//game/playstation-4/dissidia-final-fantasy-nt,65,213,"Action, Fighting, 3D",T
Gravel                                            (PS4),67,7,"Feb 27, 2018",http://www.metacritic.com//game/playstation-4/gravel,28,30,"Racing, Arcade, Automobile",E
Zwei: The Arges Adventure                                            (PC),67,NA,"Jan 24, 2018",http://www.metacritic.com//game/pc/zwei-the-arges-adventure,12,- Awaiting 3 more ratings,"Role-Playing, General, ActionRPG",NA
Titan Quest                                            (XONE),67,7.6,"Mar 20, 2018",http://www.metacritic.com//game/xbox-one/titan-quest,7,5,"Role-Playing, ActionRPG",T
The 25th Ward: The Silver Case                                            (PS4),67,5.8,"Mar 13, 2018",http://www.metacritic.com//game/playstation-4/the-25th-ward-the-silver-case,13,6,"Adventure, VisualNovel",M
Monster Energy Supercross: The Official Videogame                                            (PS4),67,7.4,"Feb 13, 2018",http://www.metacritic.com//game/playstation-4/monster-energy-supercross-the-official-videogame,27,24,"Racing, Arcade, Automobile",E
Gal*Gun 2                                            (Switch),67,NA,"Apr 24, 2018",http://www.metacritic.com//game/switch/galgun-2,9,NA,"Action, Shooter, LightGun",M
Fallen Legion+                                            (PC),66,NA,"Jan 5, 2018",http://www.metacritic.com//game/pc/fallen-legion+,11,- Awaiting 3 more ratings,"Role-Playing, ActionRPG",NA
Mulaka                                            (PS4),66,7.4,"Feb 27, 2018",http://www.metacritic.com//game/playstation-4/mulaka,14,12,"ActionAdventure, General",T
Rad Rodgers                                            (PS4),66,NA,"Feb 21, 2018",http://www.metacritic.com//game/playstation-4/rad-rodgers,15,- Awaiting 1 more rating,"Action, Platformer, 2D",M
InnerSpace                                            (PC),65,NA,"Jan 16, 2018",http://www.metacritic.com//game/pc/innerspace,13,- Awaiting 3 more ratings,"Simulation, Flight, Civilian",NA
TT Isle of Man: Ride On The Edge                                            (XONE),65,8.1,"Mar 6, 2018",http://www.metacritic.com//game/xbox-one/tt-isle-of-man-ride-on-the-edge,8,10,"Racing, Arcade, Automobile",E
Sword Art Online: Fatal Bullet                                            (PS4),65,7.3,"Feb 23, 2018",http://www.metacritic.com//game/playstation-4/sword-art-online-fatal-bullet,40,67,"Action, Shooter, Third-Person, Arcade",T
Dynasty Warriors 9                                            (PS4),65,4,"Feb 13, 2018",http://www.metacritic.com//game/playstation-4/dynasty-warriors-9,48,115,"Action, ActionAdventure, Beat-'Em-Up, Open-World, 3D",T
TT Isle of Man: Ride On The Edge                                            (PS4),65,6,"Mar 6, 2018",http://www.metacritic.com//game/playstation-4/tt-isle-of-man-ride-on-the-edge,18,20,"Racing, Arcade, Automobile",E
Penny-Punching Princess                                            (Switch),65,5.1,"Apr 3, 2018",http://www.metacritic.com//game/switch/penny-punching-princess,17,7,"Role-Playing, ActionRPG",T
InnerSpace                                            (XONE),64,NA,"Jan 16, 2018",http://www.metacritic.com//game/xbox-one/innerspace,7,- Awaiting 2 more ratings,"Simulation, Flight, Civilian",E
Kerbal Space Program: Enhanced Edition                                            (PS4),64,5.7,"Jan 16, 2018",http://www.metacritic.com//game/playstation-4/kerbal-space-program-enhanced-edition,7,9,"Simulation, Space, Combat",E
InnerSpace                                            (Switch),64,NA,"Jan 16, 2018",http://www.metacritic.com//game/switch/innerspace,16,- Awaiting 2 more ratings,"Simulation, Flight, Civilian",E
The Station                                            (XONE),63,7.8,"Feb 20, 2018",http://www.metacritic.com//game/xbox-one/the-station,13,8,"Adventure, 3D, First-Person",T
Beholder: Complete Edition                                            (PS4),63,6.3,"Jan 16, 2018",http://www.metacritic.com//game/playstation-4/beholder-complete-edition,8,4,"Strategy, General",T
Scribblenauts Showdown                                            (PS4),63,6.6,"Mar 6, 2018",http://www.metacritic.com//game/playstation-4/scribblenauts-showdown,14,7,"Puzzle, Action",E10+
Secret of Mana                                            (PS4),63,6.1,"Feb 15, 2018",http://www.metacritic.com//game/playstation-4/secret-of-mana,58,91,"Role-Playing, ActionRPG",E10+
Pop-Up Pilgrims                                            (PS4),63,NA,"Feb 13, 2018",http://www.metacritic.com//game/playstation-4/pop-up-pilgrims,17,- Awaiting 3 more ratings,"Strategy, Real-Time, General",E
Fable Fortune                                            (PC),62,NA,"Feb 21, 2018",http://www.metacritic.com//game/pc/fable-fortune,8,- Awaiting 1 more rating,"Strategy, Turn-Based, Tactics",NA
World of Warriors                                            (PS4),62,3.8,"Mar 21, 2018",http://www.metacritic.com//game/playstation-4/world-of-warriors,9,5,"Action, General",T
Ash of Gods: Redemption                                            (PC),62,7.5,"Mar 23, 2018",http://www.metacritic.com//game/pc/ash-of-gods-redemption,9,47,"Strategy, Turn-Based, Tactics",NA
The Station                                            (PS4),61,5.4,"Feb 20, 2018",http://www.metacritic.com//game/playstation-4/the-station,15,7,"Adventure, 3D, First-Person",T
The Witch and the Hundred Knight 2                                            (PS4),61,6.3,"Mar 27, 2018",http://www.metacritic.com//game/playstation-4/the-witch-and-the-hundred-knight-2,18,12,"Role-Playing, ActionRPG",T
Payday 2                                            (Switch),61,5.3,"Feb 27, 2018",http://www.metacritic.com//game/switch/payday-2,34,29,"Action, Shooter, First-Person, Arcade",M
Sword Art Online: Fatal Bullet                                            (PC),61,7.9,"Feb 23, 2018",http://www.metacritic.com//game/pc/sword-art-online-fatal-bullet,7,25,"Action, Shooter, Third-Person, Arcade",T
Metal Gear Survive                                            (XONE),61,2,"Feb 20, 2018",http://www.metacritic.com//game/xbox-one/metal-gear-survive,13,146,"ActionAdventure, General",M
Devil May Cry HD Collection                                            (PS4),60,5.2,"Mar 13, 2018",http://www.metacritic.com//game/playstation-4/devil-may-cry-hd-collection,26,50,"Miscellaneous, Compilation",M
Island Time VR                                            (PS4),60,NA,"Apr 3, 2018",http://www.metacritic.com//game/playstation-4/island-time-vr,7,- Awaiting 2 more ratings,"ActionAdventure, Survival",E10+
Metal Gear Survive                                            (PS4),60,1.5,"Feb 20, 2018",http://www.metacritic.com//game/playstation-4/metal-gear-survive,69,850,"ActionAdventure, General",M
BRAWL                                            (Switch),60,8.2,"Jan 12, 2018",http://www.metacritic.com//game/switch/brawl,7,5,"Action, Arcade",M
The Inpatient                                            (PS4),59,6.4,"Jan 23, 2018",http://www.metacritic.com//game/playstation-4/the-inpatient,55,63,"ActionAdventure, Survival",M
Kirby Battle Royale                                            (3DS),57,6.9,"Jan 19, 2018",http://www.metacritic.com//game/3ds/kirby-battle-royale,31,33,"Miscellaneous, Party/Minigame",E10+
OK K.O.! Let's Play Heroes                                            (XONE),57,NA,"Jan 23, 2018",http://www.metacritic.com//game/xbox-one/ok-ko!-lets-play-heroes,7,- Awaiting 3 more ratings,"Action, Beat-'Em-Up, 2D",E10+
Dynasty Warriors 9                                            (PC),57,2.6,"Feb 13, 2018",http://www.metacritic.com//game/pc/dynasty-warriors-9,15,38,"ActionAdventure, Open-World, Action, Beat-'Em-Up, 3D",T
The Long Reach                                            (Switch),57,NA,"Mar 15, 2018",http://www.metacritic.com//game/switch/the-long-reach,8,- Awaiting 1 more rating,"ActionAdventure, Survival",M
The Bunker                                            (Switch),57,NA,"Apr 9, 2018",http://www.metacritic.com//game/switch/the-bunker,7,- Awaiting 3 more ratings,"Adventure, Point-and-Click",T
The Seven Deadly Sins: Knights of Britannia                                            (PS4),56,6.7,"Feb 9, 2018",http://www.metacritic.com//game/playstation-4/the-seven-deadly-sins-knights-of-britannia,31,13,"Action, Beat-'Em-Up, 3D",T
Extinction                                            (XONE),56,1.2,"Apr 10, 2018",http://www.metacritic.com//game/xbox-one/extinction,12,9,"ActionAdventure, General",M
Dynasty Warriors 9                                            (XONE),56,4.3,"Feb 13, 2018",http://www.metacritic.com//game/xbox-one/dynasty-warriors-9,11,23,"ActionAdventure, Open-World, Action, Beat-'Em-Up, 3D",T
Titan Quest                                            (PS4),55,6.4,"Mar 20, 2018",http://www.metacritic.com//game/playstation-4/titan-quest,14,14,"Role-Playing, ActionRPG",T
Castle of Heart                                            (Switch),54,7.7,"Mar 23, 2018",http://www.metacritic.com//game/switch/castle-of-heart,24,17,"ActionAdventure, General",T
Extinction                                            (PC),53,1.7,"Apr 10, 2018",http://www.metacritic.com//game/pc/extinction,11,17,"ActionAdventure, General",M
Metal Gear Survive                                            (PC),53,1.2,"Feb 21, 2018",http://www.metacritic.com//game/pc/metal-gear-survive,11,216,"ActionAdventure, General",M
Fear Effect Sedna                                            (PS4),51,6.4,"Mar 6, 2018",http://www.metacritic.com//game/playstation-4/fear-effect-sedna,13,21,"Role-Playing, General",M
Baseball Riot                                            (Switch),51,NA,"Jan 19, 2018",http://www.metacritic.com//game/switch/baseball-riot,8,- Awaiting 1 more rating,"Puzzle, Action",E10+
Extinction                                            (PS4),50,1.2,"Apr 10, 2018",http://www.metacritic.com//game/playstation-4/extinction,25,38,"ActionAdventure, General",M
Fear Effect Sedna                                            (XONE),47,4.6,"Mar 6, 2018",http://www.metacritic.com//game/xbox-one/fear-effect-sedna,10,8,"Role-Playing, General",M
Out of Ammo                                            (PS4),47,7.6,"Jan 30, 2018",http://www.metacritic.com//game/playstation-4/out-of-ammo,14,27,"Action, Shooter, First-Person, Arcade",T
Past Cure                                            (PC),47,4,"Feb 2, 2018",http://www.metacritic.com//game/pc/past-cure,7,10,"Action, General",M
Scribblenauts Showdown                                            (Switch),47,5.1,"Mar 6, 2018",http://www.metacritic.com//game/switch/scribblenauts-showdown,17,15,"Puzzle, Action",E10+
Crisis on the Planet of the Apes VR                                            (PS4),46,2.2,"Apr 3, 2018",http://www.metacritic.com//game/playstation-4/crisis-on-the-planet-of-the-apes-vr,9,5,"Action, Shooter, LightGun",M
Bravo Team                                            (PS4),45,4.7,"Mar 6, 2018",http://www.metacritic.com//game/playstation-4/bravo-team,36,28,"Action, Shooter, First-Person, Arcade",T
Hollow                                            (Switch),38,6.4,"Feb 22, 2018",http://www.metacritic.com//game/switch/hollow,8,21,"ActionAdventure, Survival",M
Past Cure                                            (PS4),37,3.4,"Feb 23, 2018",http://www.metacritic.com//game/playstation-4/past-cure,20,31,"Action, General",M
Super Seducer                                            (PC),35,7.2,"Mar 6, 2018",http://www.metacritic.com//game/pc/super-seducer,7,16,"Adventure, VisualNovel",NA
Past Cure                                            (XONE),35,3.9,"Feb 23, 2018",http://www.metacritic.com//game/xbox-one/past-cure,7,8,"Action, General",M
Fantasy Hero: Unsigned Legacy                                            (Switch),34,5.2,"Jan 25, 2018",http://www.metacritic.com//game/switch/fantasy-hero-unsigned-legacy,7,5,"Role-Playing, ActionRPG",E10+
